RA,FA,CE,PE,BP,distance
185,90,300,200,100,202.44
185,95,300,200,100,247.16
185,100,300,200,100,296.5
185,105,300,200,100,338.37
185,110,300,200,100,364.61
185,115,300,200,100,381.82
185,120,300,200,100,378.58
185,125,300,200,100,363.91
185,130,300,200,100,333.99
185,135,300,200,100,293.5
185,140,300,200,100,244.55
185,100,300,100,100,185.96
185,100,300,110,100,195.97
185,100,300,120,100,215.59
185,100,300,130,100,220.54
185,100,300,140,100,235.62
185,100,300,150,100,241.36
185,100,300,160,100,257.64
185,100,300,170,100,262.48
185,100,300,180,100,274.68
185,100,300,190,100,286.02
185,100,300,200,100,292.87
185,100,300,200,100,296.67
185,100,300,200,110,317.12
185,100,300,200,120,327.6
185,100,300,200,130,343.81
185,100,300,200,140,366.91
185,100,300,200,150,380.46
185,100,300,200,160,396.07
185,100,300,200,170,415.45
185,100,300,200,180,422.52
185,100,300,200,190,447.15
185,100,300,200,200,466.24
185,115,300,200,200,630.14
185,140,200,200,200,236.76
185,140,300,200,200,420.34
185,90,200,200,200,182.59
185,140,250,200,200,340.99
185,140,300,200,200,428.75
185,140,300,200,200,449.97
185,90,200,200,150,159.33
185,90,200,200,200,168.5
185,140,200,200,200,238.98
185,90,300,200,200,279.27
185,90,200,200,200,166.59
185,115,200,200,150,296.01
185,115,300,200,200,630.15
185,90,250,200,150,194.44
185,140,200,200,100,130.46
185,115,250,200,100,299.17
185,140,300,200,100,246.27
185,115,200,200,200,356.32
185,140,250,200,100,196.51
185,140,200,200,200,240.75
185,90,250,200,150,198.83
185,90,300,200,200,262.93
185,90,300,200,200,283.09
185,90,200,200,100,118.16
185,90,300,200,100,200.63
185,140,200,200,150,187.41
185,140,300,200,200,442.25
185,115,250,200,100,296.52
185,90,300,200,150,244.54
135,110,300,200,200,233
135,110,300,200,200,233
135,110,300,200,200,234
135,110,300,200,200,245
150,110,300,200,200,352
150,110,300,200,200,366
150,110,300,200,200,366
150,110,300,200,200,372
135,120,300,200,200,163
135,120,300,200,200,179
135,120,300,200,200,173
135,120,300,200,200,170
150,120,300,200,200,328
150,120,300,200,200,324
150,120,300,200,200,333
150,120,300,200,200,327
135,110,250,200,200,191
135,110,250,200,200,187
135,110,250,200,200,189
135,110,250,200,200,194
150,110,250,200,200,292
150,110,250,200,200,287
150,110,250,200,200,284
150,110,250,200,200,289
150,120,250,200,200,258
150,120,250,200,200,259
150,120,250,200,200,264
150,120,250,200,200,260
135,110,300,150,200,200
135,110,300,150,200,201
135,110,300,150,200,195
135,110,300,150,200,200
135,110,250,150,200,156
135,110,250,150,200,155
135,110,250,150,200,152
135,110,250,150,200,151
150,110,300,150,200,290
150,110,300,150,200,291
150,110,300,150,200,292
150,110,300,150,200,288
150,120,300,150,200,262
150,120,300,150,200,270
150,120,300,150,200,261
150,120,300,150,200,258
150,120,250,150,200,202
150,120,250,150,200,198
150,120,250,150,200,199
150,120,250,150,200,206
135,110,300,200,175,227
135,110,300,200,175,223
135,110,300,200,175,216
135,110,300,200,175,226
135,110,300,150,175,183
135,110,300,150,175,174
135,110,300,150,175,186
135,110,300,150,175,182
135,110,250,200,175,180
135,110,250,200,175,174
135,110,250,200,175,177
135,110,250,200,175,169
135,110,250,150,175,139
135,110,250,150,175,136
135,110,250,150,175,142
135,110,250,150,175,139
150,110,300,200,175,337
150,110,300,200,175,334
150,110,300,200,175,331
150,110,300,200,175,332
150,110,250,200,175,266
150,110,250,200,175,265
150,110,250,200,175,264
150,110,250,200,175,267
150,110,250,150,175,214
150,110,250,150,175,210
150,110,250,150,175,212
150,110,250,150,175,213
150,110,300,150,175,274
150,110,300,150,175,275
150,110,300,150,175,268
150,110,300,150,175,271
135,120,300,200,175,151
135,120,300,200,175,151
135,120,300,200,175,156
135,120,300,200,175,155
150,120,300,200,175,302
150,120,300,200,175,295
